G1001,30,5,1,1,30,30,1,40,40,1,130,13,0.01,4,-1,24
G1002,30,5,1,1,30,30,1,40,40,1,120,12,0.01,4,-1,24
G1003,30,5,1,1,30,30,1,40,40,1,130,13,0.01,4,-1,24
G1004,500,150,8,8,500,500,1,440,440,1,80,8,0.01,44,24,400
G1005,300,100,8,8,300,300,1,110,110,1,90,9,0.01,11,24,240
G1006,30,10,1,1,30,30,1,40,40,1,120,12,0.01,4,-1,24
G1007,100,25,5,5,100,100,1,50,50,1,110,11,0.01,5,-5,80
G1008,30,5,1,1,30,30,1,40,40,1,120,12,0.01,4,-1,24
G1009,30,5,1,1,30,30,1,40,40,1,130,13,0.01,4,-1,24
G1010,300,100,8,8,300,300,1,100,100,1,85,8.5,0.01,10,15,240
G1011,350,100,8,8,350,350,1,100,100,1,80,8,0.01,10,16,280
G1012,30,8,1,1,30,30,1,40,40,1,130,13,0.01,4,-1,24
G1013,30,8,1,1,30,30,1,40,40,1,120,12,0.01,4,-1,24
G1014,100,25,5,5,100,100,1,50,50,1,110,11,0.01,5,-5,80
G1015,30,8,1,1,30,30,1,40,40,1,120,12,0.01,4,-1,24
G1016,100,25,5,5,100,100,1,50,50,1,110,11,0.01,5,-5,80
G1017,30,8,1,1,30,30,1,40,40,1,150,15,0.01,4,-1,24
G1018,30,8,1,1,30,30,1,40,40,1,140,14,0.01,4,-1,24
G1019,100,25,5,5,100,100,1,59,59,1,120,12,0.01,5.9,-5,80
G1020,250,50,8,8,250,250,1,100,100,1,100,10,0.01,10,10,200
G1021,250,50,8,8,250,250,1,100,100,1,110,11,0.01,10,-10,200
G1022,100,25,5,5,100,100,1,50,50,1,120,12,0.01,5,-5,80
G1023,100,25,5,5,100,100,1,50,50,1,130,13,0.01,5,-5,80
G1024,200,50,10,10,200,200,1,100,100,1,110,11,0.01,10,-10,160
G1025,200,50,10,10,200,200,1,100,100,1,110,11,0.01,10,-10,160
G1026,100,25,5,5,100,100,1,50,50,1,130,13,0.01,5,-5,80
G1027,420,100,10,10,420,420,1,250,250,1,90,9,0.01,25,20,336
G1028,420,100,10,10,420,420,1,250,250,1,100,10,0.01,25,20,336
G1029,300,80,8,8,300,300,1,100,100,1,65,6.5,0.01,10,15,240
G1030,80,30,4,4,80,80,1,45,45,1,100,10,0.01,4.5,-4,64
G1031,30,10,1,1,30,30,1,40,40,1,110,11,0.01,4,-1,24
G1032,30,5,1,1,30,30,1,40,40,1,120,12,0.01,4,-1,24
G1033,20,5,1,1,20,20,1,30,30,1,110,11,0.01,3,-1,16
G1034,100,25,5,5,100,100,1,50,50,1,100,10,0.01,5,-5,80
G1035,100,25,5,5,100,100,1,50,50,1,90,9,0.01,5,5,80
G1036,500,150,8,8,500,500,1,440,440,1,70,7,0.01,44,24,400
G1037,100,25,5,5,100,100,1,50,50,1,100,10,0.01,5,-5,80
G1038,30,10,1,1,30,30,1,40,40,1,100,10,0.01,4,-1,24
G1039,650,200,8,8,650,650,1,440,440,1,90,9,0.01,44,24,520
G1040,500,150,8,8,500,500,1,400,400,1,70,7,0.01,40,24,400
G1041,20,8,1,1,20,20,1,30,30,1,120,12,0.01,3,-1,16
G1042,50,20,1,1,50,50,1,45,45,1,120,12,0.01,4.5,-1,40
G1043,300,100,8,8,300,300,1,100,100,1,90,9,0.01,10,15,240
G1044,300,100,8,8,300,300,1,100,100,1,120,12,0.01,10,-15,240
G1045,300,100,8,8,300,300,1,110,110,1,80,8,0.01,11,15,240
G1046,20,8,1,1,20,20,1,30,30,1,130,13,0.01,3,-1,16
G1047,100,25,5,5,100,100,1,50,50,1,120,12,0.01,5,-5,80
G1048,100,25,5,5,100,100,1,50,50,1,110,11,0.01,5,-5,80
G1049,20,8,1,1,20,20,1,30,30,1,130,13,0.01,3,-1,16
G1050,50,25,2,2,50,50,1,45,45,1,120,12,0.01,4.5,-2,40
G1051,100,25,5,5,100,100,1,50,50,1,110,11,0.01,5,-5,80
G1052,100,25,5,5,100,100,1,50,50,1,110,11,0.01,5,-5,80
G1053,100,25,5,5,100,100,1,50,50,1,100,10,0.01,5,-5,80
G1054,50,25,2,2,50,50,1,45,45,1,100,10,0.01,4.5,-2,40
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
name,pmax,pmin,min On,min OFF,ramp up,ramp down,fuel cost,hot Start$,cold start,cold time,a,b,c,shut down,initial,pmp
,,,,,,,,,,,,,,,,
,8270,,,,,,,,,,,,,,,
