2164.68,2324.68,2484.68,2644.68,2804.68
2009.39,2169.39,2329.39,2489.39,2649.39
1931.75,2091.75,2251.75,2411.75,2571.75
1854.1,2014.1,2174.1,2334.1,2494.1
1854.1,2014.1,2174.1,2334.1,2494.1
1931.75,2091.75,2251.75,2411.75,2571.75
2164.68,2324.68,2484.68,2644.68,2804.68
2630.56,2790.56,2950.56,3110.56,3270.56
3057.62,3217.62,3377.62,3537.62,3697.62
3368.2,3528.2,3688.2,3848.2,4008.2
3523.5,3683.5,3843.5,4003.5,4163.5
3562.32,3722.32,3882.32,4042.32,4202.32
3523.5,3683.5,3843.5,4003.5,4163.5
3562.32,3722.32,3882.32,4042.32,4202.32
3562.32,3722.32,3882.32,4042.32,4202.32
3445.85,3605.85,3765.85,3925.85,4085.85
3407.03,3567.03,3727.03,3887.03,4047.03
3407.03,3567.03,3727.03,3887.03,4047.03
3290.56,3450.56,3610.56,3770.56,3930.56
3251.73,3411.73,3571.73,3731.73,3891.73
3251.73,3411.73,3571.73,3731.73,3891.73
3290.56,3450.56,3610.56,3770.56,3930.56
3057.62,3217.62,3377.62,3537.62,3697.62
2475.27,2635.27,2795.27,2955.27,3115.27
